YEAR MEAN_WAGE YEAR MEAN_WAGE
1967 68718.88 1987 155167.85
1968 67672.02 1988 153957.31
1969 70602.84 1989 161368.84
1970 72338.20 1990 161071.86
1971 69964.24 1991 149446.92
1972 72067.52 1992 157823.42
1973 72276.09 1993 240177.96
1974 69694.40 1994 240310.44
1975 68484.37 1995 362741.41
1976 69622.58 1996 374699.39
1977 70377.94 1997 398231.55
1978 72473.37 1998 387378.22
1979 77877.91 1999 347774.63
1980 76067.81 2000 419886.77
1981 116517.60 2001 390670.08
1982 108677.47 2002 470904.67
1983 110527.71 2003 445997.33
1984 152540.90 2004 477597.05
1985 147726.89 2005 474259.17
1986 151170.99 2006 538416.97
NA NA 2007 467984.50
NA NA 2008 464928.55
NA NA 2009 501245.62
NA NA 2010 522694.47
NA NA 2011 572896.45
NA NA 2012 626923.39
NA NA 2013 558843.72
